Date,Game,red5_out,red4_out,red2_out,red3_out,red5_in,red2_in,red4_in,red1_out,red6_out,red3_in,red6_in,red1_in
20200702,20058,0,0,0,0,0,0,0,0,0,0,0,0
20200705,20059,1,1,1,0,1,1,1,1,0,0,0,1
20200707,20060,1,0,1,1,1,1,1,0,1,1,1,1
20200709,20061,0,0,0,0,0,0,0,0,0,0,0,0
20200712,20062,1,1,1,0,1,1,1,0,1,1,1,0
20200714,20063,0,1,0,1,0,0,1,0,0,1,0,0
20200716,20064,1,1,0,0,1,1,1,0,1,1,1,1
20200719,20065,1,1,0,0,0,0,1,0,0,0,1,0
20200721,20066,0,0,0,1,0,1,0,0,1,1,0,1
20200723,20067,0,1,0,0,0,0,0,1,1,0,0,0
20200726,20068,1,0,0,0,1,1,0,0,0,0,0,0
20200728,20069,0,0,1,0,0,1,0,0,0,0,1,1
20200730,20070,1,0,0,0,1,0,0,0,0,0,0,0
20200802,20071,1,1,0,1,1,1,1,0,1,1,1,0
20200804,20072,0,1,0,0,0,1,1,1,1,0,1,1
20200806,20073,0,0,0,1,0,1,0,1,1,1,1,1
20200809,20074,1,1,0,0,0,1,1,1,0,0,0,1
20200811,20075,1,1,0,0,1,0,1,1,1,1,1,1
20200813,20076,0,1,0,0,0,0,0,0,0,1,0,0
20200816,20077,0,0,1,1,1,1,0,0,1,1,1,1
20200818,20078,0,0,0,1,0,0,0,1,0,0,0,1
20200820,20079,1,0,0,0,1,0,1,0,1,0,1,0
20200823,20080,0,0,0,1,0,0,0,0,0,1,0,0
20200825,20081,1,0,0,1,1,0,0,0,1,1,1,1
20200827,20082,1,1,0,0,0,0,0,1,1,0,1,1
20200830,20083,0,0,0,0,0,0,0,0,0,0,0,1
20200901,20084,1,0,1,1,0,1,0,0,1,1,1,1
20200903,20085,0,0,0,0,0,0,0,0,0,0,0,0
20200906,20086,1,1,1,1,1,1,1,1,1,1,1,1
20200908,20087,0,0,0,0,1,0,0,0,0,0,0,0
20200910,20088,0,0,0,1,0,0,0,0,0,0,1,0
20200913,20089,1,1,0,0,1,0,1,1,1,0,1,1
20200915,20090,0,0,0,0,0,0,0,1,0,0,0,1
20200917,20091,0,0,1,1,0,1,1,0,0,1,0,0
20200920,20092,1,1,0,1,1,0,1,1,1,1,1,1
20200922,20093,0,0,0,0,0,0,0,1,0,0,0,1
20200924,20094,0,0,0,0,0,0,0,0,1,0,0,0
20200927,20095,0,0,1,1,1,1,0,0,0,1,0,0
20200929,20096,0,0,0,0,0,0,0,0,0,0,0,1
20201006,20097,1,1,0,1,1,1,1,1,1,1,1,1
20201008,20098,0,1,1,0,1,1,1,0,0,1,0,1
20201011,20099,0,0,0,1,0,0,0,0,0,1,1,1
20201013,20100,1,1,1,0,1,1,1,0,0,1,0,0
20201015,20101,0,0,0,0,0,0,0,0,1,0,0,0
20201018,20102,1,1,1,1,1,1,1,1,1,1,1,1
20201020,20103,0,1,0,0,0,1,1,0,0,0,0,0
20201022,20104,1,1,0,1,1,0,0,1,1,1,0,1
20201025,20105,0,0,0,1,0,0,1,0,0,0,0,0
20201027,20106,0,1,0,1,0,1,0,1,0,0,1,0
20201029,20107,0,0,1,1,0,0,0,1,1,1,1,1
20201101,20108,0,0,0,1,0,0,1,0,0,0,0,0
20201103,20109,1,0,0,0,1,0,0,0,1,0,1,1
20201105,20110,0,0,0,0,1,0,1,0,0,0,0,0
20201108,20111,0,0,1,0,0,1,0,0,1,0,1,1
20201110,20112,0,0,1,0,0,1,1,0,0,0,0,0
20201112,20113,0,0,0,0,1,0,0,0,1,0,1,0
20201115,20114,0,0,1,1,0,1,0,1,1,1,1,1
20201117,20115,1,1,1,1,1,0,1,1,1,1,1,1
20201119,20116,0,0,1,1,0,1,0,0,0,1,1,0
20201122,20117,0,0,1,0,0,1,0,1,1,0,1,0
20201124,20118,0,0,1,0,0,1,0,0,0,0,0,0
20201126,20119,0,0,0,0,0,0,0,0,1,0,1,0
20201129,20120,0,0,0,0,0,0,0,1,0,0,0,1
20201201,20121,0,1,1,1,0,1,1,1,1,1,1,1
20201203,20122,0,0,0,0,0,0,1,0,0,1,0,0
20201206,20123,1,0,0,0,1,0,0,0,0,0,1,0
20201208,20124,0,0,0,0,0,0,1,0,0,0,0,0
20201210,20125,0,0,1,1,0,1,0,1,1,1,1,1
20201213,20126,0,0,1,0,1,1,0,0,1,1,0,1
20201215,20127,0,0,0,0,0,0,0,0,0,0,0,0
20201217,20128,0,0,0,1,1,1,0,0,0,1,1,0
20201220,20129,0,0,0,0,0,0,0,0,0,0,0,0
20201222,20130,0,0,0,1,0,1,0,0,0,1,0,1
20201224,20131,1,0,0,0,0,0,0,1,0,0,0,1
20201227,20132,0,0,0,0,0,0,0,0,0,0,0,1
20201229,20133,0,0,0,0,1,0,0,1,1,0,1,1
20201231,20134,0,0,1,0,0,0,1,0,0,0,0,0
20210103,21001,0,0,0,0,0,0,0,1,1,1,0,1
20210105,21002,1,0,1,1,1,1,1,0,1,1,0,1
20210107,21003,1,0,0,0,0,1,1,1,1,0,1,1
20210110,21004,0,0,0,0,0,0,0,0,0,0,0,0
20210112,21005,0,0,1,1,0,1,0,1,0,1,0,0
20210114,21006,0,1,0,0,1,0,1,1,0,0,0,1
20210117,21007,1,1,0,1,1,0,1,0,0,0,0,1
20210119,21008,0,0,1,0,0,1,0,0,0,0,0,0
20210121,21009,0,0,0,1,0,0,0,1,1,1,1,1
20210124,21010,0,1,1,1,0,1,1,0,0,0,0,0
20210126,21011,0,0,1,0,1,1,0,1,1,0,1,0
20210128,21012,0,1,1,1,0,0,1,1,0,1,1,1
20210131,21013,0,0,1,1,0,1,0,0,0,0,0,1
20210202,21014,0,0,0,0,0,0,0,1,0,0,0,0
20210204,21015,1,0,1,1,1,1,0,0,1,1,1,1
20210207,21016,0,0,1,0,0,0,0,0,0,0,0,1
20210221,21017,0,0,0,0,0,0,0,0,0,0,0,0
20210223,21018,1,1,1,1,1,1,1,0,1,1,1,1
20210225,21019,0,0,0,0,0,0,0,0,1,0,1,0
20210228,21020,0,0,0,1,0,0,0,0,0,0,0,0
20210302,21021,0,0,1,0,0,0,0,0,0,0,0,0
20210304,21022,0,0,0,1,0,0,0,0,1,1,1,0
20210307,21023,1,1,0,0,1,0,1,0,1,0,0,0
20210309,21024,0,0,0,0,0,0,0,0,0,0,0,0
20210311,21025,1,0,1,1,1,1,0,0,1,1,0,0
20210314,21026,1,1,0,1,1,0,0,0,0,1,0,1
20210316,21027,1,0,1,0,1,1,0,1,1,0,1,0
20210318,21028,0,0,0,0,1,0,0,0,0,0,0,0
