Date,P1,P2,P3,P4,P5,P6,P7
20160515,1,0,0,0,2,0,-1
20160517,1,2,2,1,2,0,5
20160519,0,0,0,1,1,0,4
20160522,1,2,2,2,2,0,-1
20160524,1,2,2,1,1,0,1
20160526,2,3,2,2,3,0,-1
20160529,0,1,0,0,1,4,4
20160531,3,1,0,2,1,0,-1
20160602,0,1,1,2,1,0,8
20160605,1,1,2,2,1,5,1
20160607,2,1,1,0,0,0,7
20160609,3,0,0,2,1,0,-1
20160612,0,3,0,2,1,1,-1
20160614,2,2,0,1,0,1,-1
20160616,1,1,1,0,1,6,8
20160619,1,2,1,1,2,6,1
20160621,2,3,2,2,2,0,-1
20160623,1,3,1,1,2,0,-1
20160626,1,0,0,1,1,0,2
20160628,2,2,2,0,3,0,-1
20160630,2,3,1,2,1,0,9
20160703,1,1,0,2,0,11,7
20160705,3,2,2,3,4,0,-1
20160707,2,2,1,2,2,20,-1
20160710,1,2,2,1,2,23,5
20160712,1,1,0,1,2,11,8
20160714,1,1,2,1,1,0,3
20160717,1,1,2,0,0,6,7
20160719,1,1,0,2,1,3,8
20160721,1,0,2,2,1,0,6
20160724,0,0,1,1,0,24,4
20160726,2,3,2,3,2,26,-1
20160728,1,2,1,2,1,17,1
20160731,0,0,2,0,3,0,-1
20160802,2,1,1,0,1,6,8
20160804,1,0,0,1,0,5,4
20160807,3,3,2,3,1,0,-1
20160809,2,1,1,1,2,5,1
20160811,3,1,2,1,0,31,-1
20160814,1,0,1,1,1,5,8
20160816,1,0,1,1,1,1,8
20160818,1,2,2,2,1,17,5
20160821,2,2,1,0,1,13,6
20160823,1,2,2,0,1,1,6
20160825,0,0,0,0,0,0,-1
20160828,1,0,2,0,1,18,7
20160830,1,2,2,0,1,3,6
20160901,2,2,0,2,2,28,-1
20160904,1,1,2,2,2,7,5
20160906,2,1,1,1,1,23,3
20160908,2,3,1,1,1,33,-1
20160911,2,1,3,1,2,31,9
20160913,0,0,0,0,1,8,-1
20160915,0,2,1,0,1,8,7
20160918,0,1,1,2,0,1,7
20160920,1,1,1,1,0,15,8
20160922,3,3,1,3,2,20,-1
20160925,1,3,3,1,1,0,-1
20160927,1,2,1,1,0,3,8
20160929,2,2,2,0,1,0,-1
20161002,1,1,0,0,1,42,2
20161004,0,0,0,0,0,9,-1
20161006,1,2,2,1,2,14,5
20161009,0,1,0,0,0,2,-1
20161011,1,1,0,0,1,4,2
20161013,2,1,1,1,1,16,3
20161016,1,2,1,1,0,8,8
20161018,1,1,0,1,2,1,8
20161020,3,1,1,3,3,0,-1
20161023,1,0,1,0,1,5,2
20161025,0,0,0,0,0,7,-1
20161027,0,0,2,1,0,0,-1
20161030,0,2,2,2,1,13,-1
20161101,2,3,0,2,1,1,-1
20161103,2,2,1,1,1,37,1
20161106,2,1,3,1,1,25,-1
20161108,1,1,1,0,1,9,8
20161110,2,1,4,1,0,39,-1
20161113,1,1,0,0,0,43,4
20161115,0,1,1,1,0,10,2
20161117,1,1,1,1,1,0,-1
20161120,3,1,0,1,1,0,-1
20161122,1,0,0,1,1,3,2
20161124,1,2,2,1,2,21,5
20161127,1,1,1,2,3,9,-1
20161129,1,1,1,0,1,9,8
20161201,2,2,1,1,2,3,5
20161204,1,0,2,0,1,33,7
20161206,0,1,2,2,1,42,6
20161208,2,1,2,2,1,3,5
20161211,0,1,2,2,1,2,6
20161213,0,0,0,1,0,21,-1
20161215,1,0,0,0,2,21,-1
20161218,0,0,0,1,1,15,4
20161220,0,0,1,1,1,12,2
20161222,4,4,0,2,1,0,-1
20161225,0,1,1,0,0,3,4
20161227,2,0,3,2,2,50,-1
20161229,3,3,1,1,1,41,-1
20170101,2,1,2,1,2,10,5
20170103,1,0,1,1,1,15,8
20170105,1,1,1,1,2,36,3
20170108,0,1,0,0,0,11,-1
20170110,0,1,0,1,0,7,4
20170112,2,1,4,0,2,31,-1
20170115,1,2,1,3,0,28,-1
20170117,1,0,1,1,2,6,8
20170119,1,1,0,1,2,1,8
20170122,1,1,2,2,1,34,1
20170124,1,3,2,2,3,0,-1
20170126,1,1,1,1,3,30,-1
20170205,2,2,1,1,1,3,1
20170207,0,0,1,0,1,9,4
20170209,4,3,0,1,2,0,-1
20170212,1,1,3,3,2,0,-1
20170214,0,0,1,2,1,28,7
20170216,2,1,1,0,3,11,-1
20170219,1,1,1,3,2,33,-1
20170221,1,1,2,1,2,7,1
20170223,1,1,0,1,0,25,2
20170226,0,1,1,0,1,1,2
20170228,1,0,1,0,0,9,4
20170302,2,2,1,1,1,4,1
