Date,A0,A1,A2,A3,A4,A5,A6
20241119,20,0,0,0,0,0,0
20241117,0,0,0,2,6,12,0
20241114,0,0,0,6,7,6,1
20241112,0,0,0,0,4,10,6
20241110,0,0,0,0,0,20,0
20241107,0,0,0,8,3,8,1
20241105,0,0,0,4,8,8,0
20241103,0,0,0,1,9,10,0
20241031,0,0,0,1,5,14,0
20241029,0,0,0,1,8,9,2
20241027,0,0,0,3,9,8,0
20241024,0,0,0,0,3,9,8
20241022,0,0,0,8,8,4,0
20241020,0,0,0,1,6,13,0
20241017,0,0,1,0,10,8,1
20241015,0,0,0,0,3,13,4
20241013,0,0,0,1,7,11,1
20241010,0,2,2,10,5,1,0
20241008,0,0,0,0,1,13,6
20241006,0,0,0,0,5,10,5
20240929,0,0,0,0,7,6,7
20240926,0,0,0,3,3,5,9
20240924,0,0,0,5,3,12,0
20240922,0,0,0,3,9,7,1
20240919,0,0,0,0,8,11,1
20240917,0,0,0,1,6,10,3
20240915,0,0,0,3,6,9,2
20240912,0,0,1,3,11,5,0
20240910,0,0,0,3,9,7,1
20240908,0,0,0,1,1,11,7
20240905,0,0,1,3,10,3,3
20240903,0,0,0,2,1,9,8
20240901,0,0,0,0,5,7,8
20240829,0,0,0,0,3,13,4
20240827,0,0,0,0,3,7,10
20240825,0,0,0,0,5,11,4
20240822,0,0,0,1,3,8,8
20240820,0,0,0,0,8,11,1
20240818,0,0,1,0,3,6,10
20240815,0,0,0,3,3,9,5
20240813,0,0,1,2,7,7,3
20240811,0,0,0,1,5,11,3
20240808,0,0,0,1,5,8,6
20240806,0,0,0,5,10,4,1
20240804,0,0,0,1,8,9,2
20240801,0,0,0,4,10,6,0
20240730,0,0,0,0,1,9,10
20240728,0,0,0,0,1,6,13
20240725,0,0,0,1,3,12,4
20240723,0,0,1,2,11,5,1
20240721,0,0,0,3,4,10,3
20240718,0,0,0,1,7,9,3
20240716,0,0,0,3,7,7,3
20240714,0,0,0,2,3,8,7
20240711,0,0,0,0,7,9,4
20240709,0,0,0,0,0,8,12
20240707,0,0,0,3,8,7,2
20240704,0,0,0,2,7,10,1
20240702,0,0,0,2,2,9,7
20240630,0,1,1,4,9,3,2
20240627,0,0,0,1,1,8,10
20240625,0,0,0,2,6,11,1
20240623,0,0,1,3,9,6,1
20240620,0,0,0,0,1,13,6
20240618,0,0,0,2,7,9,2
20240616,0,0,1,1,8,8,2
20240613,0,0,0,1,5,11,3
20240611,0,0,0,3,5,6,6
20240609,0,0,0,0,3,8,9
20240606,0,0,0,1,1,6,12
20240604,0,0,0,1,1,9,9
20240602,0,0,1,2,11,6,0
20240530,0,0,1,4,4,7,4
20240528,0,0,1,6,7,5,1
20240526,0,0,0,7,12,1,0
20240523,0,0,0,0,0,8,12
20240521,0,0,0,2,8,10,0
20240519,0,0,0,0,1,12,7
20240516,0,0,0,0,6,8,6
20240514,0,0,1,6,11,1,1
20240512,0,0,0,1,5,14,0
20240509,0,0,0,0,4,7,9
20240507,0,0,0,0,3,2,15
20240505,0,0,2,6,10,2,0
20240502,0,0,2,0,9,9,0
20240430,0,0,0,1,7,8,4
20240428,0,0,0,0,4,7,9
20240425,0,0,1,5,6,5,3
20240423,0,0,0,1,5,10,4
20240421,0,0,1,7,9,3,0
20240418,0,0,0,0,0,3,17
20240416,0,0,0,2,4,14,0
20240414,0,0,0,3,6,11,0
20240411,0,0,0,0,1,9,10
20240409,0,0,0,1,4,9,6
20240407,0,0,0,0,3,10,7
20240404,0,0,0,0,7,9,4
20240402,0,0,0,2,8,5,5
20240331,0,0,0,5,10,5,0
20240328,0,0,0,1,6,10,3
20240326,0,0,1,2,10,7,0
20240324,0,0,0,2,4,9,5
20240321,0,0,1,1,7,8,3
20240319,0,0,3,10,3,4,0
20240317,0,0,0,2,8,5,5
20240314,0,0,0,1,3,9,7
20240312,0,0,0,2,8,8,2
20240310,0,0,0,0,4,11,5
20240307,0,0,0,4,12,4,0
20240305,0,0,0,0,4,5,11
20240303,0,0,4,5,8,2,1
20240229,0,0,0,0,5,10,5
20240227,0,0,0,0,5,8,7
20240225,0,0,0,1,4,11,4
20240222,0,0,0,0,1,14,5
20240220,0,0,0,0,4,7,9
20240218,0,0,0,1,8,11,0
20240206,0,0,0,7,7,4,2
20240204,0,0,0,1,3,5,11
20240201,0,0,0,3,6,9,2
20240130,0,0,1,1,6,11,1
20240128,0,0,0,0,5,8,7
20240125,0,0,0,2,5,7,6
20240123,0,0,0,1,2,13,4
20240121,0,0,0,0,7,11,2
20240118,0,0,0,1,4,5,10
20240116,0,0,0,1,4,10,5
20240114,0,0,0,1,5,10,4
20240111,0,0,0,1,1,13,5
20240109,0,0,0,2,3,7,8
20240107,0,0,2,10,6,2,0
20240104,0,0,0,0,0,7,13
20240102,0,0,1,1,12,6,0
20231231,0,0,1,2,8,6,3
20231228,0,0,0,1,11,8,0
20231226,0,0,0,3,11,6,0
20231224,0,0,0,0,2,7,11
20231221,0,0,1,6,6,5,2
20231219,0,0,1,2,6,7,4
20231217,0,0,0,0,1,8,11
20231214,0,0,0,2,6,4,8
20231212,0,0,0,0,1,9,10
20231210,0,0,1,6,8,3,2
20231207,0,0,0,2,5,11,2
20231205,0,0,0,1,1,10,8
20231203,0,0,0,2,2,12,4
20231130,0,1,0,4,6,8,1
20231128,0,0,0,0,2,11,7
20231126,0,0,0,2,3,6,9
20231123,0,0,0,1,3,8,8
20231121,0,0,0,2,6,9,3
20231119,0,0,0,2,1,11,6
20231116,0,0,0,0,2,10,8
20231114,0,0,0,2,4,14,0
20231112,0,0,1,2,8,8,1
20231109,0,0,1,6,13,0,0
20231107,0,1,0,3,9,7,0
20231105,0,0,0,1,10,9,0
20231102,0,0,0,0,7,13,0
20231031,0,0,1,10,6,3,0
20231029,0,0,0,1,3,11,5
20231026,0,0,0,3,6,11,0
20231024,0,0,1,0,2,11,6
20231022,0,0,0,2,5,6,7
20231019,0,0,0,0,2,8,10
20231017,0,0,0,4,4,11,1
20231015,0,0,0,6,7,7,0
20231012,0,0,0,0,6,7,7
20231010,0,0,0,1,1,11,7
20231008,0,0,0,0,11,8,1
20231005,0,0,0,0,2,14,4
20230928,0,0,0,2,7,9,2
20230926,0,0,0,1,4,7,8
20230924,0,0,0,4,6,10,0
20230921,0,0,0,2,10,8,0
20230919,0,0,0,1,2,7,10
20230917,0,0,0,0,9,8,3
20230914,0,0,0,0,5,15,0
20230912,0,0,0,2,3,10,5
20230910,0,0,1,2,10,7,0
20230907,0,0,0,1,2,8,9
20230905,0,0,0,0,3,8,9
20230903,0,0,0,3,6,11,0
20230831,0,0,0,3,6,9,2
20230829,0,0,0,0,2,8,10
20230827,0,0,0,0,6,14,0
20230824,0,0,0,0,5,14,1
20230822,0,0,0,0,10,8,2
20230820,0,0,2,4,8,4,2
20230817,0,0,0,0,6,7,7
20230815,0,0,1,2,9,5,3
20230813,0,0,0,4,7,9,0
20230810,0,0,2,8,10,0,0
20230808,0,0,3,4,5,8,0
20230806,0,0,0,2,9,8,1
20230803,0,0,3,0,3,12,2
20230801,0,0,5,5,9,1,0
20230730,0,0,1,4,6,9,0
20230727,0,0,0,3,8,9,0
20230725,0,0,0,2,7,9,2
20230723,0,0,0,0,2,10,8
20230720,0,0,0,1,1,8,10
20230718,0,0,0,0,2,9,9
20230716,0,0,0,3,8,9,0
20230713,0,0,0,4,7,9,0
20230711,0,0,0,0,2,7,11
20230709,0,0,0,0,1,9,10
20230706,0,0,0,0,4,8,8
20230704,0,0,0,0,3,8,9
20230702,0,0,0,0,0,10,10
20230629,0,0,0,3,8,7,2
20230627,0,0,0,6,8,5,1
20230625,0,0,1,8,9,2,0
20230622,0,0,0,1,2,6,11
20230620,0,0,3,7,4,6,0
20230618,0,0,0,0,2,13,5
20230615,0,0,1,1,10,7,1
20230613,0,0,0,3,12,4,1
20230611,0,1,0,1,9,7,2
20230608,0,0,1,4,10,4,1
20230606,0,0,0,2,11,2,5
20230604,0,0,0,1,6,8,5
20230601,0,0,0,0,6,14,0
20230530,0,0,0,1,4,10,5
20230528,0,0,0,0,2,13,5
20230525,0,0,0,6,7,6,1
20230523,0,0,1,2,9,8,0
20230521,0,0,1,0,13,4,2
20230518,0,0,0,1,9,10,0
20230516,0,0,0,0,9,11,0
20230514,0,0,0,2,3,9,6
20230511,0,0,1,2,6,8,3
20230509,0,0,0,2,1,6,11
20230507,0,0,5,8,6,1,0
20230504,0,0,0,0,1,7,12
20230502,0,0,0,0,3,10,7
20230430,0,0,0,0,5,8,7
20230427,0,0,0,1,10,8,1
20230425,0,0,0,0,6,8,6
20230423,0,0,1,1,8,5,5
20230420,0,0,0,1,5,11,3
20230418,0,0,0,2,4,7,7
20230416,0,0,0,0,5,9,6
20230413,0,0,0,1,7,11,1
20230411,0,0,0,0,4,9,7
20230409,0,0,0,0,4,5,11
20230406,0,0,0,1,13,6,0
20230404,0,0,0,2,5,8,5
20230402,0,0,0,4,3,7,6
20230330,0,0,0,6,11,2,1
20230328,0,0,0,0,2,9,9
20230326,0,0,0,0,1,7,12
20230323,0,0,0,0,5,15,0
20230321,0,0,0,2,11,6,1
20230319,0,0,5,13,2,0,0
20230316,0,0,1,7,5,7,0
20230314,0,0,0,0,3,11,6
20230312,0,0,6,6,7,1,0
20230309,0,0,4,8,5,3,0
20230307,0,0,0,1,6,8,5
